"Weapon","Head","Chest","Gloves","Legs","Feet","Ear","Neck","Wrist","Finger.1","Finger.2","Food","WD","Int","DH","Crit","Det","SS","DPS"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+DH+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+Det+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Carrot Pudding","122","2702","1392","2015","1410","1457","9333.1689681"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+DH+Det)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (Det+SS+SS+Det+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Carrot Pudding","122","2702","1236","2123","1206","1709","9332.7639095145"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+Det+DH+Det)","Lunar Envoy's Justaucorps of Casting (Det+Det)","Rinascita Armguards of Casting (DH+Det+SS+DH+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+DH+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+Det+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1572","2054","1193","1455","9332.250526368"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (DH+SS+SS+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Det+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Carrot Pudding","122","2702","1272","2015","1110","1877","9331.14156"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (DH+SS+SS+DH+Det)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (DH+Det+Det+Det+Det)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+SS+DH+Det+Det)","Rinascita Ring of Casting (DH+Det+SS+SS+SS)","Garlean Pizza","122","2702","1344","2102","893","1935","9330.674269304"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+Det+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (Det+Det+Det+Det+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Earring of Casting (Det+Det+DH+Det+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+SS+SS)","Garlean Pizza","122","2702","1308","2054","1205","1707","9330.179871552"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (DH+Det+Det+Det+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+DH+DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Garlean Pizza","122","2702","1416","2150","773","1935","9328.43065132"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+SS+SS+Det+SS)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+Det+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+SS)","Rinascita Necklace of Casting (Crit+Det+Crit+Det+Det)","Rinascita Bracelet of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+Det+Det+SS+SS)","Garlean Pizza","122","2702","1356","2006","1205","1707","9327.940864681"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+DH+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (DH+SS+SS+DH+SS)","Rinascita Poleyns of Casting (Det+Det+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (DH+SS+SS+SS+SS)","Rinascita Necklace of Casting (Det+Det+DH+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Det+Crit+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1404","1958","1205","1707","9325.90258314"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+DH+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+DH+Det)","Rinascita Necklace of Casting (Crit+Det+DH+Det+Det)","Rinascita Bracelet of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+SS)","Piennolo Tomato Salad","122","2702","1426","1825","1205","1818","9325.8972675"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+DH+Det)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Det+Det+Crit+Det+Det)","Rinascita Bracelet of Casting (Crit+SS+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Carrot Pudding","122","2702","1236","1883","1218","1937","9325.70722692"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (DH+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+SS+SS+DH+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+SS+SS+SS)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1440","2006","893","1935","9325.643284408"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+SS+SS+Det+Det)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (Det+SS+SS+DH+DH)","Rinascita Poleyns of Casting (DH+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (DH+SS+Det+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+SS+Crit+Crit+SS)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1392","2054","1001","1818","9325.64073888"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (Det+Det+Det+DH+DH)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+DH+DH)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Det+Crit+Crit+Det)","Rinascita Ring of Casting (Det+SS+DH+Det+Det)","Rinascita Ring of Casting (Det+SS+DH+Det+Det)","Garlean Pizza","122","2702","1320","1958","1001","1995","9325.124259768"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Justaucorps of Casting (SS+SS)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Garlean Pizza","122","2702","1296","2066","785","2127","9324.2007503125"
