InitialDHWeight,InitialCritWeight,InitialDetWeight,InitialSSWeight,Weapon,Head,Chest,Hands,Legs,Feet,Ear,Neck,Wrist,Finger1,Finger2,Food,WD,Int,DH,Crit,Det,SS,DPS,Gain
1.0,1.0,0.0,-1.0,Voidcast Rod (DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+Det+DH+Det+Det),Diadochos Bottoms (Det+Crit+Crit+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+Crit+DH+DH+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,128.0,3082.0,1687,2305,1233,1329,11728.600449999998,-9.49%
1.0,0.0,1.0,-1.0,Voidcast Rod (DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+Det+DH+DH),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+DH+Crit+Crit+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Crit+Det+Crit+Crit),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+Det+SS+Det+Det),Caviar Canapes,128.0,3082.0,1681,2161,1413,1293,11737.2206271875,-9.42%
1000000.0,1000.0,1.0,0.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+DH+DH+DH),Diadochos Bottoms (Det+Crit+Crit+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+DH+Crit+Crit+DH),Diadochos Choker (SS+DH+DH+DH+DH),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+Det+SS+Det+Det),Caviar Canapes,127.0,3071.0,1734,2203,1245,1414,11656.721486578499,-10.0%
1000000.0,1.0,1000.0,0.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+DH+DH+DH),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+DH+SS+Crit+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3071.0,1770,1999,1437,1390,11620.891957584,-10.3%
1000000.0,0.0,1000.0,1.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+DH+DH+DH),Diadochos Bottoms (Det+Det+Det+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (SS+DH+SS+SS+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (SS+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3071.0,1770,1963,1389,1468,11627.959538664,-10.2%
0.0,1000000.0,1.0,1000.0,Voidcast Rod (SS+SS),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Credendum Surcoat (SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+Crit+Crit+SS+Crit),Diadochos Boots (SS+Det+Det+SS+SS),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+DH+SS+Det+Det),Diadochos Ring (DH+DH+SS+Det+Det),Baked Eggplant,128.0,3102.0,1147,2438,1208,1704,11809.995832128,-8.86%
1.0,1000000.0,0.0,1000.0,Diadochos Rod (Det+Det+Crit+Det+Det),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Credendum Surcoat (SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+Crit+Crit+SS+Crit),Diadochos Boots (SS+DH+DH+SS+SS),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3091.0,1111,2425,1237,1779,11727.567268316252,-9.50%
1.0,1000.0,1000000.0,0.0,Diadochos Rod (Det+Det+Det+Det+Det),Diadochos Beret (Det+Crit+Crit+Det+Det),Diadochos Coat (Det+Det+DH+Det+DH),Diadochos Armlets (Det+Det+Det+Det+Det),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (Det+Det+Det+Det+Det),Diadochos Earring (SS+DH+Crit+Crit+DH),Diadochos Choker (Det+DH+Det+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Sandwich,127.0,3071.0,1251,1944,1940,1455,11644.495231512,-10.1%
1.618,1.412,1.0,0.7,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+DH+Det+DH),Diadochos Bottoms (Det+Crit+Crit+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+Crit+DH+DH+DH),Diadochos Choker (SS+DH+SS+SS+Det),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Sandwich,127.0,3071.0,1749,2112,1281,1467,11657.891717999999,-10.0%
1.618,1.412,0.7,1.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+SS+DH+SS+DH),Diadochos Bottoms (SS+Crit+Crit+SS+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+Crit+DH+DH+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Crit+Crit+Crit),Diadochos Ring (Det+DH+SS+SS+Det),Diadochos Ring (Det+Det+SS+SS+Det),Baked Eggplant,127.0,3071.0,1795,2102,1252,1460,11659.134128474001,-10.0%
1.618,1.0,1.412,0.7,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+SS+Det+SS+DH),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+Crit+DH+DH+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+Det+Det+Det+Det),Caviar Sandwich,127.0,3071.0,1785,1920,1413,1491,11632.20432,-10.2%
1.618,1.0,0.7,1.412,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+SS+DH+SS+DH),Diadochos Bottoms (SS+Det+Det+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (SS+SS+DH+DH+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (SS+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3071.0,1759,2035,1209,1606,11649.328195336,-10.1%
1.618,0.7,1.412,1.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+DH+Det+DH),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (Det+Det+Det+SS+DH),Diadochos Earring (SS+SS+DH+DH+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+DH+SS+SS+Det),Baked Eggplant,127.0,3071.0,1675,1910,1612,1412,11647.744737719999,-10.1%
0.7,1.618,1.0,1.412,Diadochos Rod (Det+Crit+Crit+Det+Crit),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Diadochos Coat (SS+SS+SS+SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+Crit+Crit+SS+Crit),Diadochos Boots (SS+Det+Det+SS+Det),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+DH+Det+DH+DH),Caviar Sandwich,127.0,3071.0,1161,2328,1233,1887,11686.328970960001,-9.82%
1.412,1.618,1.0,0.7,Diadochos Rod (Crit+Crit+DH+Crit+DH),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+SS+SS+DH+DH),Diadochos Bottoms (Det+Crit+Crit+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Baked Eggplant,127.0,3071.0,1483,2426,1276,1424,11689.459834698,-9.79%
1.412,1.618,0.7,1.0,Diadochos Rod (Crit+Crit+DH+Crit+DH),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+SS+DH+SS+DH),Diadochos Bottoms (SS+Det+Crit+SS+Det),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+DH+SS+SS+Det),Baked Eggplant,127.0,3071.0,1543,2378,1228,1460,11691.52209408,-9.78%
1.0,1.618,0.7,1.412,Diadochos Rod (Crit+Crit+DH+Crit+DH),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Diadochos Coat (SS+SS+SS+SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+Crit+Crit+SS+Det),Diadochos Boots (SS+DH+DH+SS+DH),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+DH+Det+Det+DH),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3071.0,1219,2455,1101,1834,11699.40930132,-9.71%
0.7,1.412,1.0,1.618,Voidcast Rod (Det+Det),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Diadochos Coat (SS+SS+SS+SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+SS+SS+SS+SS),Diadochos Boots (SS+Det+Det+SS+Det),Diadochos Earring (SS+SS+SS+SS+SS),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (SS+Crit+Crit+Crit+Crit),Diadochos Ring (Det+DH+SS+SS+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,128.0,3082.0,1075,2245,1233,2001,11754.15770607,-9.29%
